Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1982]=28.27220571
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1983]=24.45951343
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1984]=25.32627636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1985]=25.83243998
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1986]=25.91211685
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1987]=27.25186717
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1988]=27.18506613
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1989]=26.33140677
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1990]=27.36536835
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1991]=34.39493833
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1992]=26.64897689
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1993]=28.11499626
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1994]=33.14335063
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1995]=29.71540754
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1996]=28.71419152
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1997]=38.34138232
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1998]=37.8122783
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1999]=30.44917133
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2000]=27.9819784
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2001]=27.87799844
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2002]=33.80824329
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2003]=34.36218135
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2004]=32.33033041
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2005]=32.72399071
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2006]=34.3551466
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2007]=33.27729799
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2008]=31.61901151
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2009]=31.77247637
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2010]=34.61053251
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2011]=32.51825927
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2012]=35.82690196
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2013]=33.24556583
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2014]=36.14582139
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2015]=34.74602423
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2016]=34.479772
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2017]=34.21351977
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2018]=33.94726754
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2019]=33.68101532
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2020]=33.41476309
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[2021]=33.24738459
