Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1919]=0.825970909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1920]=0.960289636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1921]=0.842581091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1922]=0.883564364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1923]=1.002381273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1924]=1.005299727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1925]=1.016082818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1926]=0.997990091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1927]=1.089205636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1928]=1.084383
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1929]=1.163906455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1930]=1.073108182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1931]=0.959165455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1932]=0.864763909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1933]=0.910458818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1934]=0.990208636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1935]=1.039394182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1936]=1.140296727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1937]=1.218918818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1938]=1.145803636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1939]=1.212393545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1940]=1.323997636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1941]=1.354267909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1942]=1.350988364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1943]=1.373202818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1944]=1.393815273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1945]=1.159162909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1946]=1.265001545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1947]=1.401406364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1948]=1.477011545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1949]=1.430686091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1950]=1.637256
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1951]=1.739944364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1952]=1.763380091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1953]=1.813026273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1954]=1.851809727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1955]=2.029975636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1956]=2.161159909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1957]=2.232421909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1958]=2.295715636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1959]=2.415333
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1960]=2.560273091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1961]=2.568670909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1962]=2.65938
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1963]=2.801360455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1964]=2.953530545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1965]=3.086617091
