year,,,,,,,,,,,,,,,,
,USA,CAN,WEU  ,JPK,ANZ,CEE,FSU,MDE,CAM,SAM,SAS,SEA,CHI,NAF,SSA,SIS
2115,36194.37677,4063.056439,47605.5978,14081.75964,4042.107691,2838.233926,4661.518244,12444.44882,6398.763381,12430.09008,32236.37236,18977.08848,18062.71769,5274.620321,44857.63993,1205.242825
2116,36389.35533,4104.542584,48061.88783,14140.50981,4082.253132,2859.537771,4698.856473,12611.81633,6498.514691,12562.23535,32739.45083,19205.77289,18080.44239,5345.457035,46143.70626,1222.106288
2117,36585.38424,4146.452328,48522.55131,14199.50509,4122.79729,2881.001524,4736.493777,12781.4348,6599.82104,12695.78547,33250.38031,19437.21308,18098.18449,5417.245066,47466.64406,1239.205701
2118,36782.46914,4188.789993,48987.63015,14258.7465,4163.744125,2902.626384,4774.432552,12953.3345,6702.70667,12830.75537,33769.28332,19671.44225,18115.944,5489.997192,48827.51041,1256.544365
2119,36980.61575,4231.559951,49457.16668,14318.23507,4205.097636,2924.41356,4812.675212,13127.54611,6807.196199,12967.16014,34296.28428,19908.49401,18133.72094,5563.726358,50227.39274,1274.125627
2120,37179.82976,4274.766614,49931.20363,14377.97184,4246.861863,2946.364271,4851.224191,13304.10072,6913.314631,13105.01505,34831.50959,20148.40238,18151.51532,5638.445687,51667.40963,1291.952881
2121,37182.09226,4268.68688,49838.60024,14279.71428,4240.781811,2933.819686,4835.558278,13296.40433,6900.090862,13055.38603,34704.79669,20066.17361,18010.08631,5624.239627,51704.45941,1286.156364
2122,37184.35489,4262.615792,49746.1686,14182.12821,4234.710465,2921.328511,4819.942953,13288.71238,6886.892388,13005.94496,34578.54476,19984.28043,17869.75926,5610.069359,51741.53576,1280.385855
2123,37186.61766,4256.553339,49653.90839,14085.20903,4228.64781,2908.890519,4804.378055,13281.02489,6873.719159,12956.69112,34452.75212,19902.72146,17730.52558,5595.934793,51778.63869,1274.641235
2124,37188.88057,4250.499509,49561.81928,13988.95218,4222.593835,2896.505483,4788.863421,13273.34185,6860.571128,12907.62381,34327.4171,19821.49536,17592.37675,5581.835839,51815.76824,1268.922389
2125,37191.14362,4244.454288,49469.90096,13893.35314,4216.548527,2884.173179,4773.398887,13265.66325,6847.448247,12858.74232,34202.53803,19740.60074,17455.30432,5567.772408,51852.9244,1263.229202
2126,37379.90274,4285.800742,49925.36088,13955.36688,4256.585289,2905.57062,4810.815066,13437.47692,6949.733121,12991.9371,34721.51182,19975.03716,17481.8409,5639.501387,53265.51536,1280.65048
2127,37569.61989,4327.549963,50385.01414,14017.65741,4297.002207,2927.126806,4848.524531,13611.51589,7053.545892,13126.51155,35248.36029,20212.2577,17508.41782,5712.154442,54716.58848,1298.312017
2128,37760.29992,4369.705876,50848.89933,14080.22599,4337.802888,2948.842917,4886.529581,13787.80896,7158.909384,13262.47997,35783.20291,20452.29544,17535.03515,5785.743478,56207.19212,1316.217125
2129,37951.94772,4412.272442,51317.05543,14143.07384,4378.990979,2970.720137,4924.832533,13966.38534,7265.84676,13399.85679,36326.16099,20695.18383,17561.69294,5860.280554,57738.40318,1334.369163
2130,38144.56821,4455.25366,51789.52175,14206.20221,4420.570157,2992.759663,4963.435721,14147.2746,7374.38153,13538.6566,36877.35768,20940.95673,17588.39126,5935.777882,59311.32788,1352.771538
2131,38145.85322,4449.576991,51705.33775,14121.62522,4414.912054,2981.625646,4949.354239,14140.9059,7361.756879,13493.71087,36759.93317,20866.64505,17469.298,5922.502772,59344.91888,1347.505399
2132,38147.13827,4443.907554,51621.29059,14037.55176,4409.261194,2970.533052,4935.312706,14134.54006,7349.153841,13448.91435,36642.88256,20792.59707,17351.01114,5909.257351,59378.5289,1342.259761
2133,38148.42337,4438.245341,51537.38004,13953.97884,4403.617567,2959.481726,4921.31101,14128.17709,7336.572379,13404.26656,36526.20467,20718.81186,17233.52521,5896.041552,59412.15796,1337.034543
2134,38149.70851,4432.590343,51453.6059,13870.90347,4397.981163,2948.471514,4907.349037,14121.81699,7324.012455,13359.76698,36409.8983,20645.28848,17116.83479,5882.855311,59445.80607,1331.829667
2135,38150.99369,4426.942549,51369.96793,13788.32268,4392.351974,2937.502263,4893.426675,14115.45974,7311.474034,13315.41513,36293.96228,20572.02601,17000.9345,5869.698559,59479.47323,1326.645052
2136,38332.72449,4467.981188,51822.90664,13853.79184,4432.118823,2959.015757,4930.904213,14290.3416,7415.797186,13449.54228,36827.72912,20811.70413,17035.82693,5942.066251,61011.41926,1344.598
2137,38515.32095,4509.400262,52279.839,13919.57186,4472.245708,2980.686809,4968.668783,14467.39014,7521.608864,13585.0205,37369.34595,21054.17465,17070.79097,6015.326165,62582.82191,1362.793899
2138,38698.7872,4551.2033,52740.80022,13985.66421,4512.735888,3002.516574,5006.722583,14646.6322,7628.930307,13721.8634,37918.92822,21299.47013,17105.82677,6089.489304,64194.69741,1381.236036
2139,38883.12739,4593.39386,53205.82582,14052.07037,4553.592652,3024.506215,5045.067826,14828.09496,7737.783057,13860.08473,38476.59306,21547.62346,17140.93447,6164.566802,65848.08819,1399.927742
2140,39068.34567,4635.975535,53674.95164,14118.79184,4594.81932,3046.656902,5083.706747,15011.80593,7848.188964,13999.69838,39042.45935,21798.66795,17176.11423,6240.569933,67544.06349,1418.872396
2141,39068.60038,4630.75468,53599.45904,14047.11837,4589.631887,3036.94372,5071.271467,15006.3207,7836.300514,13959.6793,38935.30968,21732.49424,17077.25556,6228.3674,67570.80963,1414.1521
2142,39068.85509,4625.539705,53524.07262,13975.80875,4584.450311,3027.261506,5058.866606,15000.83747,7824.430073,13919.77462,38828.45408,21666.52142,16978.96588,6216.188727,67597.56636,1409.447507
2143,39069.1098,4620.330603,53448.79223,13904.86112,4579.274584,3017.610159,5046.492088,14995.35624,7812.577614,13879.98401,38721.89174,21600.74887,16881.24192,6204.033868,67624.33369,1404.758566
2144,39069.36452,4615.127367,53373.61772,13834.27366,4574.104701,3007.989583,5034.147839,14989.87701,7800.743109,13840.30714,38615.62185,21535.17599,16784.08041,6191.902776,67651.11162,1400.085223
