model,scenario,region,variable,unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10REF_ECON,Final Energy,EJ/yr,23.65846602,24.82187948,26.01172312,NA,29.45044989,NA,29.50189241,NA,27.65622586,NA,26.95263932,NA,27.17554303,NA,27.40399176,NA,27.61712866,NA,28.26724493,NA,29.02603559
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10REST_ASIA,Final Energy,EJ/yr,18.01722527,21.30193832,25.22995784,NA,31.46865383,NA,37.29553486,NA,38.95416642,NA,41.61493139,NA,45.51701376,NA,49.20500889,NA,52.64941028,NA,55.82856716,NA,58.38763126
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10AFRICA,Final Energy,EJ/yr,10.14464613,11.23800334,16.77224395,NA,21.08637964,NA,27.52369711,NA,34.36438125,NA,44.21708557,NA,56.57611775,NA,71.5929219,NA,91.07047834,NA,115.2437532,NA,144.7015748
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10CHINA+,Final Energy,EJ/yr,34.26728786,47.91249366,66.65795779,NA,87.43161057,NA,102.7301482,NA,107.1169357,NA,106.0137477,NA,102.6551402,NA,100.0303835,NA,96.62927663,NA,91.76982927,NA,87.22991684
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10EUROPE,Final Energy,EJ/yr,55.25202039,59.41518102,58.48178485,NA,64.00850257,NA,63.80689343,NA,63.10293235,NA,61.80109517,NA,63.40396107,NA,65.55080635,NA,68.08953318,NA,70.7203485,NA,73.88192366
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10INDIA+,Final Energy,EJ/yr,18.13708586,21.30011916,25.93375449,NA,35.20873814,NA,48.90086764,NA,64.58299606,NA,74.84866047,NA,85.55938463,NA,99.90132559,NA,115.30857,NA,133.2023643,NA,151.024428
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10LATIN_AM,Final Energy,EJ/yr,18.59390051,20.60340017,24.28011873,NA,30.47574491,NA,36.19082129,NA,41.35532516,NA,42.63841038,NA,46.2542253,NA,52.15384904,NA,56.28988787,NA,62.92321693,NA,67.56923438
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10MIDDLE_EAST,Final Energy,EJ/yr,13.73600754,17.66923491,22.86609216,NA,30.61237989,NA,39.95758118,NA,49.27314574,NA,54.11216216,NA,61.12272919,NA,68.8006495,NA,75.54489659,NA,80.33109072,NA,87.06762119
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10NORTH_AM,Final Energy,EJ/yr,72.2755001,74.31337595,71.14406966,NA,76.19344945,NA,82.74601065,NA,86.6795451,NA,80.35967282,NA,77.52243257,NA,77.28960235,NA,79.40914642,NA,80.80655867,NA,82.16173172
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10PAC_OECD,Final Energy,EJ/yr,17.90237941,18.17999554,17.72024398,NA,19.12384057,NA,19.83122168,NA,20.00744346,NA,18.17985999,NA,17.32776913,NA,17.35327139,NA,17.31236,NA,17.10216567,NA,16.87029216
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10REF_ECON,Final Energy,EJ/yr,23.65846602,24.82187948,26.01172312,NA,29.45044989,NA,29.65373007,NA,30.64209456,NA,28.22457997,NA,27.90796471,NA,29.2989122,NA,29.67071358,NA,29.62761994,NA,29.64177319
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,R10REST_ASIA,Final Energy,EJ/yr,18.01722527,21.30193832,25.22995784,NA,31.46865383,NA,38.0196196,NA,43.67563155,NA,44.51214589,NA,46.64475372,NA,50.10720492,NA,53.70666886,NA,56.66864507,NA,59.24815339
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,R10AFRICA,Final Energy,EJ/yr,10.14464613,11.23800334,16.77224395,NA,21.08637964,NA,26.91229913,NA,33.07678809,NA,42.75214613,NA,54.20080078,NA,69.19963952,NA,90.10250569,NA,114.4460611,NA,144.6299879
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,R10CHINA+,Final Energy,EJ/yr,34.26728786,47.91249366,66.65795779,NA,87.43161057,NA,99.3326545,NA,97.94819821,NA,96.89872535,NA,94.55062626,NA,93.66704529,NA,91.28575496,NA,88.29828538,NA,85.27808938
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,R10EUROPE,Final Energy,EJ/yr,55.25202039,59.41518102,58.48178485,NA,64.00850257,NA,61.24421115,NA,59.84992121,NA,59.4615987,NA,60.68652854,NA,63.04651148,NA,66.10300117,NA,69.70218533,NA,73.56121921
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,R10INDIA+,Final Energy,EJ/yr,18.13708586,21.30011916,25.93375449,NA,35.20873814,NA,46.87579853,NA,60.00370473,NA,68.44062268,NA,81.53272209,NA,97.64770869,NA,114.9845,NA,133.2409936,NA,151.2732134
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,R10LATIN_AM,Final Energy,EJ/yr,18.59390051,20.60340017,24.28011873,NA,30.47574491,NA,35.55754483,NA,40.21321876,NA,43.22792923,NA,46.48242067,NA,51.83873683,NA,55.07220324,NA,59.34398604,NA,64.52821426
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,R10MIDDLE_EAST,Final Energy,EJ/yr,13.73600754,17.66923491,22.86609216,NA,30.61237989,NA,39.27228246,NA,47.07281762,NA,53.32290178,NA,59.25784217,NA,66.69726539,NA,74.6471133,NA,80.23271108,NA,87.06762085
